COUNTRY,,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,NOTES
Passenger transport - US$ Mn,,IMF,53,55,57,60,60,62,60,65,78,84,169,230,258,328,264,308,562,512,509,489,668,779,888,
GREECE,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/ 2/,TF,"10,130","9,233","10,070","10,916","12,164","13,096","14,057","14,180","13,969","13,313","14,765","16,039","16,165","15,939","14,915","15,007","16,427","15,518","17,920","22,033","23,599","24,799","27,194","1/ 1995-2007: Information based on administrative data.
2/ From 2008 the information is based on the border survey conducted by the Bank of Greece."
Tourism expenditure in the country - US$ Mn,,IMF,"4,182","3,759","3,794",..,"8,839","9,262","9,216","10,005","10,842","12,809","13,453","14,495","15,687","17,586","16,027","13,858","16,256","14,671","17,436","19,480","17,260","16,533","18,820",
Travel - US$ Mn,,IMF,"4,135","3,723","3,773","6,188","8,786","9,219","9,155","9,909","10,766","12,715","13,334","14,402","15,550","17,416","14,681","12,479","14,801","13,216","16,087","17,812","15,662","14,725","16,864",
Passenger transport - US$ Mn,,IMF,47,36,21,..,53,43,61,96,76,94,119,93,137,170,"1,346","1,379","1,455","1,455","1,349","1,668","1,598","1,808","1,956",
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,2/,TF,..,..,..,..,..,..,..,..,..,..,..,..,..,"3,765","3,835","3,799","4,941","4,681","4,594","5,802","6,291","7,235","7,685",
Tourism expenditure in other countries - US$ Mn,,IMF,"1,495","1,396","1,537",..,"4,014","4,564","4,189","2,453","2,439","2,880","3,045","3,004","3,430","3,946","4,120","3,401","3,807","3,006","3,768","4,001","3,537","3,415","3,308",
Travel - US$ Mn,,IMF,"1,323","1,210","1,327","1,756","3,991","4,558","4,177","2,436","2,431","2,872","3,039","2,997","3,423","3,930","3,381","2,854","3,159","2,365","2,435","2,754","2,259","2,220","2,155",
Passenger transport - US$ Mn,,IMF,172,186,210,..,23,6,12,17,8,8,6,7,7,16,739,547,648,641,"1,333","1,247","1,278","1,195","1,153",
GRENADA,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,TF,108,108,111,116,125,129,123,132,142,134,99,119,130,130,114,110,118,125,128,150,155,156,168,
Tourism expenditure in the country - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Travel - US$ Mn,,IMF,76,79,78,83,88,93,83,91,104,86,71,94,129,127,112,112,117,122,120,388,422,437,499,
Passenger transport - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34,38,34,35,
Travel - US$ Mn,,IMF,5,5,6,6,7,8,8,8,8,9,10,16,16,11,10,10,10,11,11,18,20,21,22,
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16,18,13,13,
GUADELOUPE,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TF,640,625,660,580,561,603,521,..,439,456,372,375,408,412,347,392,317,325,487,486,512,581,650,"1/ Arrivals by air. Excluding the north islands (Saint Martin and Saint Barthelemy). 
1995-2001: non-resident tourists staying in all types of accommodation establishments.
2003,2004: non-resident tourists staying in hotels only. 2005: data based on a survey conducted at Guadeloupe airport.
2013: including residents and non-residents. Source: OAG Aviation software.
2/ The expenditure figures are those provided by the country to UNWTO, which do not appear in the International Monetary Fund data."
Tourism expenditure in the country - US$ Mn,2/,country,458,496,372,466,375,418,..,..,..,..,306,299,342,384,293,510,582,..,671,..,614,..,..,
Travel - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Passenger transport - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Travel - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Passenger transport - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
GUAM,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,TF,"1,362","1,373","1,382","1,137","1,162","1,287","1,159","1,059",910,"1,160","1,228","1,212","1,225","1,142","1,053","1,197","1,160","1,308","1,334","1,343","1,409","1,536","1,544",
Tourism expenditure in the country - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Travel - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Passenger transport - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Travel - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Passenger transport - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
GUATEMALA,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,VF,563,520,576,636,823,826,835,884,880,"1,182","1,316","1,502","1,628","1,715","1,393","1,384","1,434","1,491","1,516","1,739","1,865","1,906","2,113",
Arrivals - Thousands,,TF,..,..,..,..,..,..,..,..,..,..,..,..,"1,448","1,527","1,054","1,119","1,160","1,200","1,224","1,371","1,473","1,585","1,660",
Tourism expenditure in the country - US$ Mn,,IMF,216,221,270,329,374,498,588,647,646,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Travel - US$ Mn,,IMF,213,216,266,314,356,482,562,620,621,630,791,919,"1,055","1,335","1,359","1,378","1,350","1,419","1,479","1,564","1,580","1,550","1,566",
Passenger transport - US$ Mn,,IMF,3,5,4,15,18,16,26,27,25,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,VF,333,333,331,391,485,488,580,629,658,854,982,"1,055","1,168","1,277",651,694,718,721,846,992,"1,130","1,195","1,328",
Departures - Thousands,,TF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,562,585,596,580,686,840,939,"1,053","1,067",
Tourism expenditure in other countries - US$ Mn,,IMF,167,163,146,190,216,216,266,329,373,488,532,655,737,740,862,"1,002",935,920,952,"1,033","1,004",989,"1,010",
Travel - US$ Mn,,IMF,141,135,119,157,183,182,225,276,312,385,421,529,597,606,715,784,708,706,725,788,755,735,748,
Passenger transport - US$ Mn,,IMF,26,28,27,33,33,34,41,53,61,103,111,126,140,134,147,218,227,214,227,245,249,254,262,
GUINEA,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TF,..,12,17,23,27,33,38,43,44,45,45,46,30,24,..,12,131,96,56,33,35,60,..,"1/ 1996-2000, 2003, 2005-2008, 2010-2016: arrivals by air at Conakry airport."
Tourism expenditure in the country - US$ Mn,,IMF,0.9,9.3,4.8,4.3,5.8,7.8,8.2,..,..,..,..,..,1.1,2.4,4.9,2,2.1,1.7,..,17.1,27,16.6,16.6,
Travel - US$ Mn,,IMF,0.9,6.4,0.1,0.9,1.7,2,0.1,..,..,..,..,..,0.2,1.5,2.8,2,2.1,1.4,..,16.7,23,15.2,16.4,
Passenger transport - US$ Mn,,IMF,0,2.9,4.7,3.4,4.1,5.8,8.1,..,0.6,..,5.6,..,0.9,0.9,2.1,0.04,0.02,0.3,..,0.4,4,1.4,0.2,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,IMF,29,37,39,34,29,13,26,38,36,29,38,41,96,30,28,17,49,41,61,29,38,16,16,
Travel - US$ Mn,,IMF,21,27,23,27,24,9,18,31,26,25,29,28,29,9,13,8,33,23,50,18,30,12,12,
Passenger transport - US$ Mn,,IMF,8,10,16,7,5,4,8,7,10,4,9,13,67,21,15,9,16,18,11,11,8,4,4,
GUINEA-BISSAU,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TF,..,..,..,..,..,..,8,..,..,..,5,12,16,18,16,22,37,35,36,36,44,..,..,1/ Arrivals by air.
Tourism expenditure in the country - US$ Mn,,IMF,..,..,..,..,..,..,..,..,2.4,2.2,..,..,..,..,..,13.6,14.5,6.8,..,..,..,..,..,
Travel - US$ Mn,,IMF,..,..,3.1,..,..,..,2.7,2.3,1.8,1,1.6,2.8,28.4,38.2,12,13.3,14.1,6.6,17.4,20.8,17.3,11.5,..,
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,..,..,..,0.6,1.2,..,..,..,..,..,0.3,0.4,0.2,..,..,..,..,..,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,IMF,5.8,4.7,3.5,..,..,..,5.5,10.2,21.3,22.3,18.9,17.8,40.7,46.1,26,29.5,38.6,24.5,..,..,..,..,..,
Travel - US$ Mn,,IMF,3.8,2.9,1.5,..,..,..,2.8,5.1,13.3,13.1,9.8,15.5,40.2,45.6,25.7,29.4,31.5,19.8,27.2,53,53,33,..,
Passenger transport - US$ Mn,,IMF,2,1.8,2,..,..,..,2.7,5.1,8,9.2,9.1,2.3,0.5,0.5,0.3,0.1,7.1,4.7,..,..,..,..,..,
GUYANA,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,TF,106,92,76,66,75,105,99,104,101,122,117,113,134,130,141,152,157,177,200,206,207,235,247,
Tourism expenditure in the country - US$ Mn,,IMF,..,112,115,111,109,80,65,53,28,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Travel - US$ Mn,,IMF,33,109,112,108,106,75,61,49,26,27,35,37,50,59,35,80,95,64,77,79,65,104,..,
Passenger transport - US$ Mn,,IMF,..,3,3,3,3,5,4,4,2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,IMF,..,65,69,69,82,77,62,44,30,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Travel - US$ Mn,,IMF,21,59,62,63,75,69,55,38,26,30,40,49,58,52,52,73,79,82,81,77,93,103,..,
Passenger transport - US$ Mn,,IMF,..,6,7,6,7,8,7,6,4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
HAITI,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TF,145,150,149,147,143,140,142,140,136,96,112,108,386,258,387,255,349,349,420,465,516,445,467,"1/ Air arrivals.
From 2007 including nationals residing abroad."
Tourism expenditure in the country - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Travel - US$ Mn,,IMF,90,96,107,131,135,128,105,108,96,93,80,126,190,360,416,383,456,447,546,578,609,511,460,
Passenger transport - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,IMF,..,..,..,..,..,173,168,172,202,206,174,239,331,383,427,431,458,473,418,475,503,503,485,
Travel - US$ Mn,,IMF,35,37,35,..,..,18,18,18,42,72,55,56,56,64,63,63,62,64,62,71,71,62,62,
Passenger transport - US$ Mn,,IMF,..,..,..,138,135,155,150,154,160,134,119,183,275,319,364,368,396,409,356,404,432,441,423,
HONDURAS,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,TF,271,263,307,321,371,471,518,550,611,641,673,739,804,869,836,863,871,895,863,868,880,838,851,
Tourism expenditure in the country - US$ Mn,,IMF,85,119,152,175,214,263,260,305,372,420,465,516,547,620,616,627,642,684,618,706,671,700,722,
Travel - US$ Mn,,IMF,80,115,146,168,208,260,256,301,364,414,463,515,546,619,616,625,637,679,608,698,664,693,715,
Passenger transport - US$ Mn,,IMF,5,4,6,7,6,3,4,4,8,6,2,0.7,0.6,0.8,0.1,1.7,5,5,10,8,7,7,7,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,TF,149,162,183,202,235,274,279,279,277,295,284,295,315,387,395,408,449,464,471,557,692,654,..,
Tourism expenditure in other countries - US$ Mn,,IMF,99,110,115,142,166,198,205,221,274,300,321,425,309,385,361,406,446,549,506,437,454,482,517,
Travel - US$ Mn,,IMF,57,60,62,81,94,120,128,149,217,244,262,355,212,291,296,321,354,454,404,338,358,370,401,
Passenger transport - US$ Mn,,IMF,42,50,53,61,72,78,77,72,57,56,59,70,97,94,65,85,92,95,102,99,96,112,116,
"HONG KONG, CHINA",,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,VF,"10,200","12,974","11,273","10,160","11,328","13,059","13,725","16,566","15,537","21,811","23,359","25,251","28,169","29,507","29,591","36,030","41,921","48,615","54,299","60,839","59,308","56,655","58,472","1/ The expenditure figures used were the ones provided by the country to UNWTO, as this data series is more complete than that provided by the International Monetary Fund (IMF).
2/ Source: Census and Statistics Department.
3/ Including Hong Kong residents to Macao and Mainland China."
Arrivals - Thousands,,TF,..,..,..,"7,137","7,837","8,814","8,878","10,689","9,676","13,655","14,773","15,821","17,154","17,319","16,926","20,085","22,316","23,770","25,661","27,770","26,686","26,553","27,884",
Tourism expenditure in the country - US$ Mn,,country,..,..,..,"7,337","7,343","8,198","7,923","9,849","9,004","11,874","13,588","15,541","18,237","20,236","20,291","27,208","33,169","37,098","42,426","46,079","42,229","37,654","38,039",
Travel - US$ Mn,1/,country,"9,604","11,994","9,979","5,651","5,493","5,868","5,904","7,410","7,072","8,918","10,179","11,509","13,566","15,018","15,978","21,689","27,038","31,205","36,108","39,243","35,574","31,246","31,682",
Passenger transport - US$ Mn,2/,country,..,..,..,"1,686","1,850","2,330","2,019","2,439","1,932","2,956","3,409","4,032","4,671","5,218","4,313","5,519","6,131","5,893","6,318","6,836","6,655","6,408","6,357",
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,3/,VF,..,..,..,"47,594","53,144","58,901","61,096","64,540","60,936","68,903","72,300","75,812","80,682","81,911","81,958","84,442","84,816","85,276","84,414","84,519","89,082","91,758","91,304",
Tourism expenditure in other countries - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Travel - US$ Mn,2/,country,"10,497","11,461","12,678","13,474","13,134","12,502","12,317","12,418","11,447","13,270","13,305","14,044","15,042","16,095","15,547","17,357","19,022","20,077","21,215","22,011","23,059","24,141","25,388",
Passenger transport - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
HUNGARY,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,TF,..,..,..,..,..,..,..,..,..,..,"9,979","9,259","8,638","8,814","9,058","9,510","10,250","10,353","10,624","12,140","14,316","15,255","15,785",
Arrivals - Thousands,,TCE,"2,878","2,979","2,887","2,871","2,789","2,992","3,070","3,013","2,948","3,270","3,446","3,310","3,451","3,516","3,228","3,462","3,822","4,164","4,388","4,618","4,929","5,302","5,650",
Tourism expenditure in the country - US$ Mn,,IMF,"2,938","3,589","3,824","3,688","3,622","3,809","4,191","3,774","4,119","4,009","4,761","4,998","5,628","7,533","7,013","6,595","7,239","6,149","6,671","7,483","6,929","7,480","8,453",
Travel - US$ Mn,,IMF,"2,928","3,562","3,797","3,646","3,565","3,733","4,154","3,728","4,061","3,914","4,120","4,254","4,739","6,443","5,976","5,587","5,929","5,057","5,362","5,864","5,320","5,674","6,233",
Passenger transport - US$ Mn,,IMF,10,27,27,42,57,76,37,46,58,95,641,744,889,"1,090","1,037","1,008","1,310","1,092","1,309","1,619","1,609","1,806","2,220",
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,VF,"13,083","12,064","12,173","12,317","10,622","11,065","11,167","12,966","14,283","17,558","17,759","16,597","17,056","17,162","16,640","16,082","16,634","16,143","16,038","16,340","17,276","18,895","20,297",
Departures - Thousands,,TF,..,..,..,..,..,..,..,..,..,..,"6,994","6,007","5,734","6,155","5,672","5,297","5,335","4,881","4,912","5,587","6,382","7,091","7,539",
Tourism expenditure in other countries - US$ Mn,,IMF,"1,501","1,491","1,511","1,496","1,590","1,722","1,887","2,211","2,700","2,482","2,721","2,319","3,088","3,857","3,251","2,897","3,048","2,457","2,526","2,712","2,456","2,739","2,975",
Travel - US$ Mn,,IMF,"1,498","1,482","1,494","1,476","1,543","1,651","1,808","2,133","2,594","2,421","2,277","1,879","2,546","3,225","2,750","2,404","2,485","1,886","1,906","2,036","1,830","2,166","2,469",
Passenger transport - US$ Mn,,IMF,3,9,17,20,47,71,79,78,106,61,444,440,542,632,501,493,563,571,620,676,626,573,506,
ICELAND,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TF,190,201,202,232,263,303,301,285,317,360,374,422,485,502,494,489,566,673,807,998,"1,289","1,792","2,225",1/ Source: Icelandic Tourist Board.
Arrivals - Thousands,,TCE,..,..,..,..,..,..,..,..,..,..,871,971,"1,058","1,106","1,281","1,224","1,419","1,642","2,019","2,597","3,347","3,978","4,378",
Tourism expenditure in the country - US$ Mn,,IMF,309,312,314,372,380,386,383,415,486,558,635,702,848,881,..,..,..,..,..,..,..,..,..,
Travel - US$ Mn,,IMF,186,176,173,207,222,227,232,256,319,370,413,478,601,624,550,562,751,865,"1,078","1,375","1,618","2,411","3,024",
Passenger transport - US$ Mn,,IMF,123,136,141,165,158,159,151,159,167,188,222,224,247,257,..,..,..,..,..,..,..,..,..,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,1/,TF,166,190,203,227,257,283,..,..,..,..,364,440,460,414,259,299,341,358,365,400,450,536,619,
Tourism expenditure in other countries - US$ Mn,,IMF,..,312,327,399,440,..,..,373,524,699,991,"1,084","1,336",..,..,..,..,..,..,..,..,..,..,
Travel - US$ Mn,,IMF,282,308,323,396,436,471,372,371,523,697,980,"1,076","1,326","1,103",534,599,740,780,850,972,998,"1,268","1,664",
Passenger transport - US$ Mn,,IMF,..,4,4,3,4,..,..,2,1,2,11,8,10,..,..,..,..,..,..,..,..,..,..,
INDIA,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TF,"2,124","2,288","2,374","2,359","2,482","2,649","2,537","2,384","2,726","3,457","3,919","4,447","5,082","5,283","5,168","5,776","6,309","6,578","6,968","13,107","13,284","14,570","15,543","1/ Data until 2013 excluding nationals residing abroad. From 2014 including nationals residing abroad.
2/ Departures of nationals only, irrespective of purpose."
Tourism expenditure in the country - US$ Mn,,IMF,..,..,..,..,..,"3,598","3,342","3,300","4,560","6,307","7,659","8,915","11,234","12,462",..,..,..,"18,340","19,042","20,756","21,472","23,111","27,878",
Travel - US$ Mn,,IMF,"2,582","2,831","2,890","2,949","3,010","3,460","3,198","3,102","4,463","6,170","7,493","8,634","10,730","11,832","11,136","14,490","17,708","17,972","18,397","19,700","21,013","22,427","27,365",
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,138,144,198,97,137,166,281,504,630,..,..,..,368,645,"1,056",459,684,513,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,2/,TF,"3,056","3,464","3,726","3,811","4,115","4,416","4,564","4,940","5,351","6,213","7,185","8,340","9,783","10,868","11,067","12,988","13,994","14,920","16,626","18,330","20,376","21,872","23,943",
Tourism expenditure in other countries - US$ Mn,,IMF,..,..,..,..,..,"3,686","4,367","4,350","4,385","5,783","8,277","8,738","10,690","12,083",..,..,..,"14,107","13,884","17,492","17,686","19,184","21,856",
Travel - US$ Mn,,IMF,996,913,"1,342","1,713","2,010","2,690","3,006","2,988","3,585","4,816","6,187","6,845","8,219","9,606","9,310","10,490","13,699","12,342","11,615","14,595","14,838","16,376","18,443",
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,996,"1,361","1,362",800,967,"2,090","1,893","2,471","2,477",..,..,..,"1,765","2,269","2,897","2,848","2,808","3,413",
INDONESIA,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,VF,"4,324","5,034","5,185","4,606","4,728","5,064","5,153","5,033","4,467","5,321","5,002","4,871","5,506","6,234","6,324","7,003","7,650","8,044","8,802","9,435","10,407","11,519","14,040",
Arrivals - Thousands,,TF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"9,963","11,072","12,948",
Tourism expenditure in the country - US$ Mn,,IMF,..,..,..,..,..,..,..,"5,797","4,461","5,226","5,094","4,890","5,831","8,150","6,053","7,618","9,038","9,463","10,302","11,567","12,054","12,566","14,117",
Travel - US$ Mn,,IMF,"5,229","6,184","6,648","4,255","4,352","4,975","5,277","5,285","4,037","4,798","4,522","4,448","5,346","7,377","5,598","6,958","7,997","8,324","9,119","10,261","10,761","11,206","12,520",
